Шлях до файлу,Справжній клас,Розпізнаний клас
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-uMXPOa_hGbb3DRMFOn7mFQHaGY.jpeg,cavallo,elefante
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,cane,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-YyleXNhHclyVkSf4dwVD8gHaF2.jpeg,cane,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/810.jpeg,gatto,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/ea35b40e2cfd043ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb5b1_640.jpg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-WYLD-z6-0vNCnf1McIqYVgHaFj.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-CNIkS7KhrlNHww2EbWBJpQHaFO.jpeg,cavallo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/579.jpeg,gallina,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-157iq1hi2vMDHqIidR0SMgHaLG.jpeg,gallina,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/OIP-e8Guavd1y-ux_IgUgXU7AgHaFM.jpeg,elefante,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-6HD_pA1vevX9YzwNVpU8mgHaFH.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-998H8KPh1LIUzUzV7hcsBAHaF3.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-ssZz1M_z9LMtJJRUs12nMgHaE7.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/ea36b40c28f0033ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5edb3bd_640.jpg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/1109.jpeg,gallina,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-4cS56xQG-327v0ebl_tlOAHaF8.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-REWpVQMj2wqQ2yuJUoEZpwHaFj.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/1013.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-8WI5eq75tPkAYD7wv_Ge6wHaHa.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/ea34b0082bf7043ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,farfalla,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-38kguD5LC98x-WzjnoiRcgEsDk.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-NMFA7xoLfEumih3NMkv1jAAAAA.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/eb37b8072bf2073ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/ea37b60e29f3093ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-wqKP--YjfNXxYmkqxNepFQHaLD.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-eidOfdejd15R-QMAyYP78QHaEM.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/OIP-oPpE3L2WrMtsciJ8yhaPrwHaEK.jpeg,elefante,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-NTWcY9YIIcE6FxGxwXM8AAHaE6.jpeg,mucca,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-mP81_3xL17FQ52QpgnlEFAHaFj.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/211.jpeg,gatto,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-KbOGMyfxjp9Bbv5hu3IQtwHaHa.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-YNdo4JVO8Zv-razWemwX8wHaFj.jpeg,cavallo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-JL5EpFvJn-HkVbRv2bFyKQHaEK.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-iR331DWqAoHzHDD3pPdRlQDHEs.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-W85a_r5Ia7zmC1aMJ0I-_QAAAA.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-uUM9xWWea_RWJZNbg0DiAwHaIe.jpeg,gallina,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-1hS_06m-_uOxvVd8iK_-PQHaG3.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-h0rQhRG5U-dstQ604FRtowHaGh.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-AHZm9N4WVxwIO4tZRT8npQHaH8.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-Vf7DQAgpcswoy-xNiDQhywHaKw.jpeg,cavallo,cavallo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-uCWPd9Q7HcjW6B2nWkugewHaE7.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/251.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-Jb0oPqp36OwZY5m8W_swegHaFT.jpeg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-uZdMhR9-a1f8mDN7rxWVVAHaJd.jpeg,gallina,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-j6U4Tj0kH0U_W65LzykoSAHaJQ.jpeg,scoiattolo,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP--iElGyS-VQQbJlaQbPLapQHaE7.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-ZIZCoITYQ15BVy17s7_1vwHaHa.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-cieXc_m2UEAUHhIfTYivfgHaHL.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-5ZwfeYunG6CT2wEI7OjybQHaEo.jpeg,scoiattolo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-hTTu1U_DltH_dTrMiHb93gHaFj.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-1faxe5kAqPZqI3nAcf7xlAHaGL.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-2TBe1T6l0Lj_y1iKgtogEgAAAA.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-JsfaijBKBfgZ-fFsx9CWewEcDb.jpeg,ragno,farfalla
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-AHAt88v7Jf_ljLCNbyPfjQHaEX.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-wGmMWBTdekGvTwqpBHhXNAHaEL.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-EEwVrseArnCAE67qGtBdYgHaE8.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-tFurPByRIO7gekyig_vkYgHaFi.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-8tmZAmdi_sAV40BLqQQYBQHaE7.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-OZzF65OpLXB1oF1Tou9uWgHaFj.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-2VGR_89nC_TUGAuEQvFVmwHaFj.jpeg,farfalla,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-c_tcm4GJsz57RuikZk2QCAHaGC.jpeg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-0fM5PWqfYbMhI9yC3QSUNgHaE8.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-HzyUyRLWf3l9P-kGpfuNpwHaE_.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-qJ4A9xVGzuEHUHuzHqAJxgAAAA.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-Dnzd5Zi2pMoZ5xrFNVPeKgHaHa.jpeg,scoiattolo,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-w28N2IFidkfFI8CT8Nl8yAHaFj.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/606.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-l_o5BaDwY6OY5ejYPJcnLAHaFT.jpeg,mucca,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/ea36b10c2cfd063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,elefante,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/ea36b50e2ef5093ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg,pecora,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP--m4jnueJjrxYnNCSc1bsnwHaGI.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/OIP-Y6BQuvYoeS0tmqv4NnBLYgHaHk.jpeg,elefante,elefante
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/OIP-q5VRKJx1XX64Bl5f5U4omgHaG8.jpeg,elefante,elefante
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-TqvyYTIYWXd7gec280GYngHaE7.jpeg,cane,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-N_JNO1AUohCqveahhqlqjAHaF-.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-RhaFju5cKt9OQyPSFC7iiAAAAA.jpeg,cavallo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-4bVppNj57CYaXUK8TYXjPAHaE8.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-fbIzoe9-zhjGFINt0u2SiwHaFS.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-EW6Gm3UyDTO4P-EorznQ_wHaF6.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-Ws93ZgV0E3p9NfGLzqonLwHaFj.jpeg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-vDS1yqlpTSFcmsC4SQhmDQHaFO.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-_b7M9TMyyPRiNxAbf_EmkQHaE8.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/ec30b10a2ae90021d85a5854ee454296eb70e3c818b413449df6c87fa7ee_640.jpg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-hbb2eDfHkgbko8tURcsozgHaEK.jpeg,farfalla,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-6b7nYl25JU2PcryJMCo6fQHaE7.jpeg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-jzP3UGQDz4D_4Fw4OaTT1wHaEK.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-LZqLayHaaGtO2fGc048_5gHaJQ.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-3Q2blzQrTFgESJBvEfQhagHaFj.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-lbTqnAO7Vx1f5QgHdspzkgHaFj.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-OFbfJCmiSe2_6ZHep-_tCgHaFj.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-m4hSfpYm8G9IedWeKol5bgHaE-.jpeg,cavallo,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-MqsqT03bU5DlOMP2JxHa2AHaJ4.jpeg,cane,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-WGdewHFCK4Xo1GxHHqG-mAHaIO.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-smIZrMqdoXdWDjbaHIlAbgHaEo.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-ZGR0nj-S61PznMq2QWngTAHaLH.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-Mis0lJf3Xbf3ulUg4DQ_EwHaFz.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-PdhkAW0EpslON9I7jckNvwHaGK.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-CFBnXS4AOjUg8l5scP1RUgHaE7.jpeg,mucca,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-68GkTFEeugmi1KteeHQTKQHaFj.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/ea34b3072ff1043ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5edb3bd_640.jpg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/486.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-7PQ7NzKqmhY1ZcZT3vjeTgHaFj.jpeg,gallina,pecora
